NazwaInstytucji,SymbolLiterowy
Bank Spółdzielczy w Kalwarii Zebrzydowskiej,BS8119
Bank Spółdzielczy w Porąbce,BS8124
Bank Spółdzielczy w Rajczy,BS8125
Bank Spółdzielczy w Skoczowie,BS8126
Bank Spółdzielczy w Suchej Beskidzkiej,BS8128
Bank Spółdzielczy w Ustroniu,BS8129
Bank Spółdzielczy w Węgierskiej Górce,BS8131
Bank Spółdzielczy w Bystrej,BS8133
Bank Spółdzielczy w Wilamowicach,BS8134
Bank Spółdzielczy w Zatorze,BS8136
Bank Spółdzielczy w Żywcu,BS8137
Bank Spółdzielczy w Gilowicach,BS8141
Bank Spółdzielczy w Bydgoszczy,BS8142
Bank Spółdzielczy w Koronowie,BS8144
Bank Spółdzielczy w Chojnicach,BS8146
Bank Spółdzielczy w Czersku,BS8147
Bank Spółdzielczy w Inowrocławiu,BS8149
Bank Spółdzielczy w Kruszwicy,BS8151
Bank Spółdzielczy w Strzelnie,BS8159
Bank Spółdzielczy w Więcborku,BS8162
Bank Spółdzielczy w Szubinie,BS8164
Bank Spółdzielczy w Kcyni,BS8166
Bank Spółdzielczy w Barcinie,BS8167
Bank Spółdzielczy w Świeciu,BS8168
Bank Spółdzielczy w Osiu,BS8169
Bank Spółdzielczy w Pruszczu Pomorskim,BS8170
Bank Spółdzielczy w Nowem n/Wisłą,BS8173
Bank Spółdzielczy w Tucholi,BS8174
Bank Spółdzielczy w Nakle n/Notecią,BS8179
Bank Spółdzielczy Pałuki w Żninie,BS8181
Piastowski Bank Spółdzielczy w Janikowie,BS8185
Wschodni Bank Spółdzielczy w Chełmie,BS8187
Bank Spółdzielczy w Wojsławicach,BS8188
Bank Spółdzielczy w Cycowie,BS8191
Bank Spółdzielczy w Leśniowicach,BS8195
Bank Spółdzielczy w Krasnymstawie,BS8200
Bank Spółdzielczy w Białopolu,BS8202
Bank Spółdzielczy w Bieżuniu,BS8212
Polski Bank Spółdzielczy w Ciechanowie,BS8213
Bank Spółdzielczy w Działdowie z siedzibą w Lidzbarku,BS8215
Bank Spółdzielczy w Grudusku,BS8220
Bank Spółdzielczy w Mławie,BS8225
Bank Spółdzielczy w Nasielsku,BS8226
Bank Spółdzielczy w Glinojecku,BS8229
Bank Spółdzielczy w Płońsku,BS8230
Bank Spółdzielczy w Pułtusku,BS8232
Bank Spółdzielczy w Raciążu,BS8233
Bank Spółdzielczy w Strzegowie,BS8238
Bank Spółdzielczy w Żurominie,BS8242
Bank Spółdzielczy w Kłobucku,BS8248
Bank Spółdzielczy w Krzepicach,BS8250
Bank Spółdzielczy w Mykanowie,BS8258
