NazwaInstytucji,SymbolLiterowy
Bank Spółdzielczy w Pilźnie,BS9477
Bank Spółdzielczy w Żyrakowie,BS9478
Bank Spółdzielczy w Radomyślu Wielkim,BS9479
Bank Spółdzielczy w Brodnicy,BSBROD
Bank Spółdzielczy w Golubiu - Dobrzyniu,BS9489
Bank Spółdzielczy w Grębocinie,BS9491
Bank Spółdzielczy w Kowalewie Pomorskim,BS9496
Bank Spółdzielczy w Łasinie,BS9500
Nicolaus Bank Spółdzielczy w Toruniu,BS9511
Bank Spółdzielczy w Kłodzku,BS9523
Bank Spółdzielczy w Dzierżoniowie,BS9527
Bank Spółdzielczy w Świdnicy,BS9531
Bank Spółdzielczy w Ząbkowicach Śląskich,BS9533
Gospodarczy Bank Spółdzielczy Radków z/s w Nowej Rudzie,BS9536
Kujawski Bank Spółdzielczy w Aleksandrowie Kujawskim,BS9537
Bank Spółdzielczy w Lipnie,BS9542
Bank Spółdzielczy w Skępem,BS9546
Bank Spółdzielczy w Radziejowie,BS9549
Kujawsko-Dobrzyński Bank Spółdzielczy,BS9550
Bank Spółdzielczy w Piotrkowie Kujawskim,BS9551
Bank Spółdzielczy w Kowalu,BS9557
Bank Spółdzielczy w Lubrańcu,BS9559
Bank Spółdzielczy w Kątach Wrocławskich,BS9574
Bank Spółdzielczy w Kobierzycach,BS9575
Bank Spółdzielczy w Miliczu,BS9582
Bank Spółdzielczy w Obornikach Śląskich,BS9583
Bank Spółdzielczy w Oleśnicy,BS9584
Bank Spółdzielczy w Oławie,BS9585
Gospodarczy Bank Spółdzielczy w Strzelinie,BS9588
Bank Spółdzielczy w Środzie Śląskiej,BS9589
Bank Spółdzielczy w Trzebnicy,BS9591
Bank Spółdzielczy w Żmigrodzie,BS9598
Bank Spółdzielczy w Biłgoraju,BS9602
Bank Spółdzielczy we Frampolu,BS9604
Bank Spółdzielczy w Izbicy,BS9610
Bank Spółdzielczy w Lubyczy Królewskiej,BS9617
Bank Spółdzielczy w Łukowej,BS9619
Bank Spółdzielczy w Obszy,BS9623
Bank Spółdzielczy w Szczebrzeszynie,BS9632
Bank Spółdzielczy w Tarnogrodzie,BS9637
Bank Spółdzielczy w Tomaszowie Lubelskim,BS9639
Bank Spółdzielczy w Werbkowicach,BS9642
Powiatowy Bank Spółdzielczy w Zamościu,BS9644
Bank Spółdzielczy w Biszczy,BS9649
Bank Spółdzielczy w Krośnie Odrzańskim,BS9656
Bank Spółdzielczy w Żaganiu,BS9657
Bank Spółdzielczy w Iłowej,BS9658
Bank Spółdzielczy w Siedlcu,BS9660
Bank Spółdzielczy w Kożuchowie,BS9673
Bank Spółdzielczy w Nowej Soli,BS9674
Powiatowy Bank Spółdzielczy we Wrześni,BS9681
Zakład Ubezpieczeń Społecznych,ZUS
PayTel Spółka Akcyjna,PayTel
SkyCash Poland Spółka Akcyjna,skycas
CashBill Spółka Akcyjna,CASHB
Diners Club Polska Spółka z ograniczoną odpowiedzialnością,DC
Currency One Spółka Akcyjna,CU-ONE
PayPro Spółka Akcyjna,PAYPRO
Fenige Spółka z ograniczoną odpowiedzialnością,FENIGE
VIVA PAYMENT SERVICES SPÓŁKA AKCYJNA ODDZIAŁ W POLSCE,VivaPL
YetiPay spółka z ograniczoną odpowiedzialnością,YETIPA
American Express Europe Spółka Akcyjna Oddział w Polsce,AEESA
Billon Solutions spółka z ograniczoną odpowiedzialnością,BILLON
UNIFIEDPOST PAYMENTS SPÓŁKA AKCYJNA ODDZIAŁ W POLSCE,
Blue Media Spółka Akcyjna,BM
Igoria Trade Spółka Akcyjna,IGORIA
eCard Spółka Akcyjna,eCard
Poczta Polska Spółka Akcyjna,PP
Planet Pay spółka z ograniczoną odpowiedzialnością,Planet
mPay Spółka Akcyjna,MPAY
Centrum Elektronicznych Usług Płatniczych eService spółka z ograniczoną odpowiedzialnością,eServ
PayU Spółka Akcyjna,PayU
Spółdzielcza Kasa Oszczędnościowo-Kredytowa ENERGIA,SK003
Spółdzielcza Kasa Oszczędnościowo-Kredytowa im. Stanisława Adamskiego w Toruniu,SK011
Spółdzielcza Kasa Oszczędnościowo-Kredytowa w Kostrzynie nad Odrą,SK014
Spółdzielcza Kasa Oszczędnościowo-Kredytowa Ziemi Rybnickiej,SK037
Spółdzielcza Kasa Oszczędnościowo-Kredytowa Boże Dary,SK039
Spółdzielcza Kasa Oszczędnościowo-Kredytowa im. Unii Lubelskiej w Lublinie,SK042
Spółdzielcza Kasa Oszczędnościowo-Kredytowa PROGRES,SK046
Spółdzielcza Kasa Oszczędnościowo-Kredytowa Śląsk z siedzibą w Rudzie Śląskiej,SK048
Spółdzielcza Kasa Oszczędnościowo-Kredytowa Wisła,SK052
Spółdzielcza Kasa Oszczędnościowo-Kredytowa im. Zygmunta Chmielewskiego,SK061
Spółdzielcza Kasa Oszczędnościowo-Kredytowa im. Franciszka Stefczyka,SK065
Krakowska Spółdzielcza Kasa Oszczędnościowo-Kredytowa w Krakowie,SK079
Spółdzielcza Kasa Oszczędnościowo-Kredytowa „Szopienice” w Katowicach,SK089
Spółdzielcza Kasa Oszczędnościowo-Kredytowa Świdnik,SK099
Spółdzielcza Kasa Oszczędnościowo-Kredytowa przy Dezamet S.A. w Nowej Dębie,SK105
Spółdzielcza Kasa Oszczędnościowo-Kredytowa „Centrum”,SK115
Spółdzielcza Kasa Oszczędnościowo-Kredytowa im. Eugeniusza Kwiatkowskiego,SK118
Zachodniopomorska Spółdzielcza Kasa Oszczędnościowo-Kredytowa,SK144
Regionalna Spółdzielcza Kasa Oszczędnościowo-Kredytowa im. św. Brata Alberta,SK190
Krajowa Spółdzielcza Kasa Oszczędnościowo-Kredytowa,KSKOK
